Gene,Fold_Difference
AF014958_at,52.85
AF015910_at,11.9356725146199
AF015913_at,123
AF015950_at,16.7
AJ000480_at,11.4645669291339
AJ001047_at,4.45
AJ001421_at,12.9645390070922
AJ001487_at,1
D00017_at,437.6
D00591_at,26.8
D00596_at,35.9085714285714
D00632_at,11.175
D00654_at,8.6
D00723_at,34.85
D00726_at,47.2622950819672
D00760_at,10.1361502347418
D00761_at,7.48
D00762_at,7.05833333333333
D00763_at,13.8744680851064
D10202_at,50.4
D10495_at,106.55
D10511_at,35.45
D10522_at,135.95
D10523_at,54.85
D10656_at,27.35
D10704_at,13.7
D10923_at,70.6
D10995_at,38.35
D11086_at,32.2666666666667
D11094_at,63.8
D11139_at,6.6
D11151_at,10.05
D11428_at,181.7
D12485_at,8.25
D12625_at,3.15
D12676_at,5.25
D12686_at,1
D12763_at,1.95
D13118_at,3.17723076923077
D13168_at,5.75
D13264_at,2
D13305_at,10.55
D13315_at,58.7575757575758
D13370_at,7.56978233034571
D13435_at,40.45
D13540_at,13.3
D13626_at,36
D13627_at,31.5813953488372
D13628_at,58.25
D13630_at,10.0833333333333
D13633_at,24.4
D13634_at,5.45098039215686
D13635_at,13.8
D13636_at,53.3
D13637_at,17.05
D13639_at,382.5
D13640_at,115.75
D13641_at,15.7389830508475
D13642_at,18.6
D13643_at,41.2
D13644_at,7.05
D13645_at,36.2
D13748_at,33.2926829268293
D13789_at,1
D13897_rna2_at,5.48360655737705
D13900_at,6.04119318181818
D13969_at,6.55
D13988_at,17.2621359223301
D14043_at,48.4039735099338
D14134_at,1
D14446_at,5.83333333333333
D14497_at,4.35
D14520_at,8
D14530_at,1.38312586445367
D14533_at,15.85
D14657_at,40.7956989247312
D14658_at,18.7349397590361
D14659_at,8.15
D14660_at,4.75
D14661_at,9.40816326530612
D14662_at,10.420814479638
D14663_at,7.60663507109005
D14664_at,29.3
D14678_at,6.25
D14686_at,50.9
D14689_at,77.1
D14694_at,8.56174863387978
D14695_at,73.85
D14710_at,9.34829931972789
D14811_at,41.9
D14812_at,5.89593495934959
D14822_at,4.1
D14823_at,6
D14827_at,20.4
D14838_at,46.5
D14874_at,38.5
D14878_at,11.4926470588235
D14889_at,5.36708860759494
D15049_at,17.25
D15050_at,11.8601398601399
D15057_at,232.75
D16181_at,8.05
D16217_at,6.38709677419355
D16227_at,17.75
D16294_at,37.35
D16350_at,10.45
D16469_at,113.05
D16532_at,41.75
D16562_at,9.8489289740699
D16581_at,4.96114519427403
D16583_at,5.2
D16593_at,43.9
D16626_at,9.85
D16815_at,12.25
D17357_at,11.25
D17390_at,1
D17391_at,2.7
D17400_at,22.15
D17461_at,11.05
D17516_at,14.75
D17525_at,56.2
D17716_at,49.3181818181818
D21063_at,124.9
D21089_at,4.3741935483871
D21090_at,24.9615384615385
D21163_at,18.25
D21205_at,10.2
D21239_at,4.55
D21255_at,30.9
D21260_at,75.5845410628019
D21261_at,8.9938167509837
D21262_at,69.9
D21267_at,8.2
D21337_at,10.25
D21851_at,12.05
D21852_at,29.40625
D21853_at,4.31165919282511
D21878_at,11.75
D23660_at,1.59299084030267
D23662_at,5.76560332871012
D23673_at,4.4535175879397
D25215_at,7.1
D25216_at,8.80223880597015
D25217_at,76.85
D25218_at,42.1923076923077
D25248_at,5.96330275229358
D25274_at,10.1082089552239
D25278_at,7.41428571428571
D25303_at,20.55
D25328_at,85.7
D25538_at,42.45
D25539_at,23.25
D25547_at,10.0564516129032
D26018_at,11.55
D26067_at,25.4
D26068_at,4.85493119266055
D26069_at,8.12195121951219
D26129_at,35.85
D26135_at,1
D26308_at,40.8591549295775
D26350_at,1.9
D26361_at,16.2
D26362_at,4.25984251968504
D26443_at,2.8
D26528_at,6.21276595744681
D26561_cds1_at,4
D26561_cds2_at,15.1
D26561_cds3_at,7.15
D26579_at,39.9032258064516
D26598_at,3.98821396192203
D26599_at,6.03262233375157
D26600_at,4.24304715840387
D28114_at,6.51485148514851
D28118_at,12.7393939393939
D28124_at,4.71551724137931
D28137_at,42.8965517241379
D28364_at,34.1363636363636
D28383_at,32.7
D28416_at,3.96908442330559
D28423_at,210.75
D28476_at,14.192118226601
D28483_at,8.01612903225806
D28532_at,15.75
D28588_at,9.52941176470588
D28589_at,58.4
D28915_at,13.0098039215686
D29012_at,3.17693169092945
D29013_at,4.62655601659751
D29641_at,37.2
D29642_at,67.95
D29643_at,183.25
D29677_at,45.55
D29810_at,8.1
D29833_at,5.45
D29954_at,2.90773405698779
D29956_at,8.12244897959184
D29958_at,10.05
D29963_at,3.69354838709677
D30036_at,29.9032258064516
D30037_at,15.3
D30655_at,10.8024263431542
D30742_at,37.05
D30755_at,69.45
D30756_at,20.6
D30758_at,5.13636363636364
D31716_at,17.0754716981132
D31762_at,20.05
D31763_at,17
D31764_at,83.15
D31765_at,3.92571428571429
D31766_at,7.00757575757576
D31767_at,5.27214741318214
D31784_at,6.5
D31797_at,8.19548872180451
D31815_at,9.85
D31846_at,3.10112359550562
D31883_at,208.4
D31884_at,6.17515923566879
D31885_at,11.496062992126
D31886_at,21.55
D31887_at,16.9
D31888_at,14.8928571428571
D31890_at,5.80245022970904
D31891_at,9.17277486910995
D31897_at,18.4
D32001_at,10.4765100671141
D32050_at,94.8
D32202_at,25.45
D37931_at,9.48936170212766
D37965_at,5.45
D38037_at,40.9
D38047_at,5.59974905897114
D38048_at,7.87371134020619
D38076_at,13.0242718446602
D38128_at,3.5
D38145_at,6.38317757009346
D38293_at,20.5
D38305_at,40.1
D38449_at,14.5
D38462_at,1.95
D38491_at,12.4883720930233
D38500_at,1
D38503_at,4.85
D38521_at,10.0969696969697
D38522_at,21.75
D38524_at,36
D38535_at,11.1258741258741
D38548_at,12.3082191780822
D38549_at,235.8
D38550_at,9.78260869565217
D38551_at,11.8196721311475
D38552_at,29.6333333333333
D38553_at,20.1
D38555_at,45.8
D38583_at,109.7
D38751_at,2.75
D42038_at,1.95
D42039_at,14.15
D42041_at,14.4251497005988
D42043_at,7.10061919504644
D42044_at,8.75
D42045_at,3
D42046_at,4.20083682008368
D42047_at,22.45
D42053_at,44.85
D42054_at,64.3
D42055_at,6.55
D42063_at,26.35
D42072_at,4.25
D42073_at,27.6
D42084_at,14.1623931623932
D42085_at,13.2
D42087_at,30.5384615384615
D42108_at,17.2
D42123_at,3.31938325991189
D42138_at,23.7
D43636_at,100.05
D43638_at,21.15
D43642_at,6.13822284908322
D43767_at,41.9555555555556
D43768_at,2.25
D43772_at,16.45
D43947_at,50.85
D43948_at,8.0625
D43949_at,8.12994350282486
D43950_at,102.6
D43951_at,16.3945578231293
D44466_at,45.9
D45248_at,72.85
D45370_at,30.7
D45371_at,14.2058823529412
D45399_at,14.4
D45906_at,23.2
D49357_at,20.65
D49387_at,14.9
D49394_at,9.7
D49396_at,32.55
D49400_at,3.82390953150242
D49410_at,6.69527896995708
D49488_at,14.75
D49489_at,11.1
D49490_at,64.5
D49493_at,8.7
D49677_at,1
D49738_at,6.32151898734177
D49742_at,2.3
D49817_at,156
D49818_at,53.7
D49950_at,17.75
D49958_at,7.5
D50063_at,4.41609195402299
D50310_at,4.1332125056638
D50312_at,1
D50370_at,11.8
D50402_at,19.3
D50487_at,12.9
D50495_at,73.05
D50525_at,14.3829787234043
D50532_at,15.95
D50582_at,5.3
D50640_at,22.6
D50645_at,17.25
D50663_at,46.3461538461538
D50678_at,3.15
D50683_at,167.3
D50692_at,49.5
D50810_at,14.35
D50840_at,75.8
D50857_at,10.4761904761905
D50863_at,34.05
D50911_at,8.56569343065693
D50912_at,11.8947368421053
D50913_at,92.2
D50914_at,45.8
D50915_at,229.65
D50916_at,65.65
D50917_at,10.5596330275229
D50918_at,87.65
D50919_at,15.1
D50920_at,53.05
D50922_at,25.1
D50923_at,10.85
D50924_at,7.28947368421053
D50925_at,27.05
D50926_at,19.7272727272727
D50927_at,8.84269662921348
D50928_at,41.5
D50930_at,16.251968503937
D50931_at,17.6
D55638_at,7.35
D55640_at,49.7
D55654_at,36.593984962406
D55696_at,13.45
D55716_at,39.5795454545455
D56495_at,3.69270833333333
D59253_at,17.1
D61380_at,48.2695035460993
D61391_at,38.55
D63134_at,1
D63135_at,22.9
D63160_at,34.65
D63390_at,25.8
D63391_at,38.9
D63412_at,8.6
D63475_at,200.15
D63476_at,11.4633204633205
D63477_at,22.95
D63478_at,4.35294117647059
D63480_at,27.75
D63481_at,5.49738219895288
D63482_at,28
D63483_at,15.35
D63484_at,1
D63485_at,3.79608938547486
D63486_at,105.45
D63487_at,49.25
D63506_at,18.531746031746
D63813_at,50.05
D63851_at,5.85294117647059
D63874_at,5.72860723236663
D63875_at,12.90625
D63876_at,14.9571428571429
D63877_at,14.5068493150685
D63878_at,11.4381188118812
D63879_at,13.4821428571429
D63880_at,64.35
D63881_at,11.4195804195804
D63998_at,34.3
D64109_at,96.85
D64110_at,26.4375
D64142_at,9.47306098283008
D64154_at,3.31536388140162
D64158_at,6.32142857142857
D64159_at,9.6
D67029_at,49.25
D70830_at,1
D76435_at,8.35
D76444_at,28.1
D78011_at,1.95
D78012_at,47.2432432432432
D78014_at,19.5
D78129_at,18.9019607843137
D78134_at,14.1609195402299
D78151_at,2.28558052434457
D78156_at,16.1
D78261_at,6.15
D78275_at,17.3061224489796
D78333_at,6.85
D78334_at,5.95
D78335_at,45.5
D78361_at,7.11743772241993
D78367_at,11.9565217391304
D78514_at,9.8
D78586_at,46.2
D78611_at,231.4
D79205_at,1.6915107305212
D79983_at,21.75
D79985_at,1
D79986_at,8.37704918032787
D79987_at,1.15
D79988_at,25.35
D79989_at,9.05
D79990_at,55.75
D79991_at,4.22360248447205
D79992_at,7.76237623762376
D79993_at,67.75
D79994_at,14.7922077922078
D79995_at,20.4
D79996_at,13.5285714285714
D79997_at,19.2
D79998_at,1
D79999_at,5.59530026109661
D80001_at,45.35
D80002_at,3.99273255813953
D80003_at,40.4
D80004_at,16.5869565217391
D80005_at,31.75
D80006_at,155.85
D80007_at,10.9473684210526
D80008_at,16.5405405405405
D80009_at,46.25
D80010_at,32.15
D80011_at,1
D80012_at,16.9809523809524
D82060_at,14.95
D82061_at,57.45
D82070_at,11.1176470588235
D82326_at,20.6
D82343_at,5.95
D82344_at,17.45
D82345_at,101.3
D82346_at,27.65
D82348_at,133.7
D83004_at,6.30057803468208
D83018_at,3.93333333333333
D83032_at,86.05
D83195_at,1
D83243_at,37.2
D83407_at,22.1
D83542_at,7.28301886792453
D83597_at,38.1
D83657_at,98.7
D83699_at,25.5
D83702_at,16.05
D83703_at,30.5
D83735_at,178.95
D83767_at,13.45
D83776_at,21.85
D83777_at,40.4
D83778_at,4.72014925373134
D83779_at,4.28978622327791
D83780_at,49
D83781_at,13.3
D83782_at,19.35
D83783_at,63.65
D83784_at,31.05
D83785_at,50.4
D83920_at,292.6
D84110_at,31.7
D84145_at,22.6
D84239_at,30.5
D84276_at,31.65
D84294_at,14.5769230769231
D84307_at,7.79130434782609
D84361_at,17.25
D84424_at,17.1
D84454_at,29.85
D84557_at,6.33258928571429
D85181_at,15.05
D85245_at,7.60869565217391
D85376_at,12.55
D85418_at,28
D85423_at,5.25
D85429_at,401.75
D85433_at,22.35
D85527_at,6.45783132530121
D85758_at,9.83488372093023
D85815_at,28.9454545454545
D85939_at,39.55
D86096_cds3_at,6.95
D86425_at,12.65
D86479_at,11.3605442176871
D86519_at,7.53968253968254
D86549_at,35.8
D86640_at,12.75
D86956_at,51
D86957_at,10.9
D86959_at,18.5
D86960_at,20.55
D86961_at,52.85
D86962_at,5.76687116564417
D86963_at,3.73154362416107
D86964_at,22.010989010989
D86965_at,4.49245283018868
D86966_at,4.45693779904306
D86967_at,13.9530026109661
D86968_at,15.9
D86969_at,27.45
D86970_at,218.55
D86971_at,59.1
D86972_at,10.2135922330097
D86973_at,87.3
D86975_at,8.15
D86976_at,13.2791878172589
D86977_at,3.56291390728477
D86978_at,8.5037037037037
D86979_at,5.56965944272446
D86980_at,3.4
D86981_at,11.65
D86982_at,10.6829268292683
D86983_at,23.066265060241
D86984_at,1
D86985_at,33.2
D87009_cds3_at,2.4
D87011_at,1
D87012_at,1
D87023_cds2_at,6.3525641025641
D87024_at,4.81818181818182
D87071_at,118.2
D87073_at,10.2207792207792
D87074_at,203.35
D87075_at,30.05
D87076_at,72.55
D87077_at,27.8
D87078_at,132.9
D87116_at,157.6
D87119_at,117.4
D87120_at,67.5
D87127_at,19.7241379310345
D87258_at,14
D87292_at,82.35
D87328_at,8.8
D87432_at,13.2
D87433_at,246.05
D87434_at,46.3214285714286
D87435_at,50.2
D87436_at,32.95
D87437_at,4.77985948477752
D87438_at,19.3066666666667
D87440_at,22.05
D87442_at,15.6416666666667
D87443_at,14.7
D87444_at,17.9
D87445_at,7.08510638297872
D87446_at,45.15
D87447_at,17.6164383561644
D87448_at,30.95
D87449_at,27.65
D87450_at,21.9433962264151
D87451_at,5.93877551020408
D87452_at,86.5
D87453_at,16.4810126582278
D87454_at,1
D87455_at,34.3636363636364
D87457_at,12.55
D87458_at,3.35
D87459_at,34.85
D87460_at,11.4705882352941
D87461_at,10.6
D87462_at,10.0980392156863
D87463_at,1.85
D87464_at,32.4
D87465_at,239.85
D87466_at,20.4193548387097
D87467_at,5.16363636363636
D87468_at,27.15
D87469_at,28.4814814814815
D87470_at,17.95
D87673_at,66.65
D87682_at,13.85
D87683_at,17.3
D87684_at,10.2350230414747
D87685_at,23.45
D87735_at,2.18269076947688
D87742_at,15
D87743_at,26.15
D87845_at,17.6
D87937_at,61.45
D87953_at,5.65087719298246
D87957_at,1
D87969_at,53.3
D87989_at,4.31547619047619
D88146_at,1.55
D88152_at,4.65
D88213_at,3.91620111731844
D88270_at,472.65
D88378_at,20.25
D88422_at,480
D88460_at,1
D88532_at,11.75
D88613_at,9.3010752688172
D88667_at,1
D88795_at,18
D88797_at,16.15
D88799_at,18.8
D89016_at,9.35294117647059
D89050_at,1.95
D89052_at,218.35
D89077_at,115.7
D89289_at,20.25
D89501_at,14.75
D89667_at,7.51831298557159
D89858_at,24.05
D89859_at,12
D90064_at,6.2
D90084_at,69.85
D90086_at,7.16871165644172
D90097_at,7.9
D90209_at,7.02831050228311
D90224_at,54.1
D90276_at,5.45248868778281
D90282_at,5.7
D90359_at,20.2
H46990_at,2.65
HG1019-HT1019_at,16.65
HG1071-HT1071_at,13.6296296296296
HG1078-HT1078_at,20.4334975369458
HG1098-HT1098_at,1
HG1102-HT1102_at,15.9583333333333
HG1103-HT1103_at,15.8
HG1111-HT1111_at,13.25
HG1112-HT1112_at,6.06122448979592
HG1116-HT1116_at,4.44444444444444
HG1139-HT4910_at,8.3
HG1148-HT1148_at,9.35
HG1153-HT1153_at,12.7115384615385
HG1155-HT4822_at,3.12892376681614
HG1205-HT1205_at,43.4
HG142-HT142_at,2.45
HG1602-HT1602_at,4.04790419161677
HG1604-HT1604_at,1
HG1612-HT1612_at,23.6021739130435
HG1614-HT1614_at,301.45
HG1649-HT1652_at,10.5953608247423
HG172-HT3924_at,21.5714285714286
HG1723-HT1729_at,3.74216027874564
HG1733-HT1748_at,28.35
HG174-HT174_at,8.3
HG180-HT180_at,15.85
HG1800-HT1823_at,1.11165149725561
HG1804-HT1829_at,16.2727272727273
HG1828-HT1857_at,19.35
HG1862-HT1897_at,26.1954022988506
HG1869-HT1904_at,8.44957983193277
HG1872-HT1907_at,11.2112903225806
HG1879-HT1919_at,5.40909090909091
HG2028-HT2082_at,4.97777777777778
HG2036-HT2090_at,32.15
HG2059-HT2114_at,8.2318339100346
HG2152-HT2222_at,12.15
HG2161-HT2231_at,1
HG2167-HT2237_at,90.45
HG2188-HT2258_at,1
HG2190-HT2260_at,1
HG2191-HT2261_at,4.4
HG2228-HT2305_at,1
HG2229-HT2306_at,1
HG2247-HT2332_at,33.25
HG2261-HT2352_at,5.15
HG2264-HT2360_at,34.25
HG2274-HT2370_at,71.9
HG2279-HT2375_at,9.34782608695652
HG2280-HT2376_at,3.8917089678511
HG2290-HT2386_at,11.3026315789474
HG2309-HT2405_at,1.9
HG2314-HT2410_at,23.05
HG2320-HT2416_at,10.2484472049689
HG2325-HT2421_at,6.26548672566372
HG2339-HT2435_at,1
HG2415-HT2511_at,28.7307692307692
HG2416-HT2512_at,5.55
HG2417-HT2513_at,11.4
HG2442-HT2538_at,25
HG2460-HT2556_at,9.1
HG2463-HT2559_at,7.83478260869565
HG2480-HT2576_at,6.10377358490566
HG2492-HT2588_at,11.2
HG2507-HT2603_at,9.65
HG2525-HT2621_at,8.15322580645161
HG2530-HT2626_at,2.05
HG2538-HT2634_at,6.60526315789474
HG2566-HT4867_at,4.61430246189918
HG2573-HT2669_at,10.8
HG25930-HT26386_at,25.25
HG2602-HT2698_at,39.95
HG2604-HT2700_at,12
HG2614-HT2710_at,12.6046511627907
HG2662-HT2758_at,1
HG2663-HT2759_at,14.7
HG2668-HT2764_at,3.98909090909091
HG2686-HT2782_at,3.55
HG2689-HT2785_at,1
HG270-HT270_at,1
HG2706-HT2802_at,1.4
HG2707-HT2803_at,1
HG2709-HT2805_at,20.6
HG2714-HT2810_at,6.3
HG2715-HT2811_at,7.42160278745645
HG2723-HT2819_at,1.15
HG2724-HT2820_at,113.75
HG2755-HT2862_at,1
HG2788-HT2896_at,23.3825503355705
HG2796-HT2904_at,28.15
HG2810-HT2921_at,19.1285714285714
HG2825-HT2949_at,47.1
HG2855-HT2995_at,12.7163636363636
HG2873-HT3017_at,1
HG2874-HT3018_at,7.95180722891566
HG2936-HT3080_at,14.35
HG2992-HT5186_at,40.9
HG3039-HT3200_at,206.65
HG3063-HT3224_at,1
HG3088-HT3263_at,45.2
HG3104-HT3280_at,1
HG311-HT311_at,3.55792750722704
HG3111-HT3287_at,4.45
HG3117-HT3293_at,18.85
HG3123-HT3299_at,20.1
HG3132-HT3308_at,4.7
HG3137-HT3313_at,1.6
HG315-HT315_at,25.2
HG3162-HT3339_at,5.72013651877133
HG3175-HT3352_at,48.3
HG3214-HT3391_at,1.0169060633024
HG3227-HT3404_at,35.3
HG3231-HT3408_at,30.35
HG3248-HT3425_at,8.45
HG3254-HT3431_at,4.28333333333333
HG3255-HT3432_at,4.50285714285714
HG3264-HT3441_at,9.05
HG3286-HT3463_at,50.2
HG3288-HT3465_at,12.05
HG3299-HT3476_at,1
HG33-HT33_at,1.96826177881658
HG331-HT331_at,1
HG3313-HT3490_at,1.95
HG3344-HT3521_at,43.8
HG3345-HT3522_at,2.55
HG3355-HT3532_at,6.79098360655738
HG3364-HT3541_at,1.22991774925052
HG3369-HT3546_at,5.45
HG3400-HT3579_at,1
HG3405-HT3586_at,9.35
HG3415-HT3598_at,20.05
HG3432-HT3618_at,21.4
HG3432-HT3621_at,18.35
HG3454-HT3647_at,5.49714285714286
HG3477-HT3670_at,1
HG3492-HT3686_at,5.72857142857143
HG3494-HT3688_at,168.45
HG3495-HT3689_at,32.05
HG3502-HT3696_at,12.65
HG3510-HT3704_at,15.65
HG3514-HT3708_at,5.78632025450689
HG3517-HT3711_at,17.95
HG3521-HT3715_at,11.1184210526316
HG3548-HT3749_at,49.4
HG3549-HT3751_at,2.43235025843721
HG3566-HT3769_at,4.1147880041365
HG3570-HT3773_at,22.65
HG3578-HT3781_at,5.0353982300885
HG358-HT358_at,4.8876404494382
HG3627-HT3836_at,31.7
HG363-HT363_at,44.8717948717949
HG37-HT37_at,14.75
HG3733-HT4003_at,1
HG3740-HT4010_at,15.8870967741935
HG3748-HT4018_at,46.05
HG3790-HT4060_at,1
HG384-HT384_at,4.99279633267845
HG3872-HT4142_at,1.75
HG3884-HT4154_at,14.65
HG3893-HT4163_at,13.85
HG3897-HT4167_at,14.95
HG3930-HT4200_at,12.5
HG3934-HT4204_at,45.85
HG3936-HT4206_at,36.75
HG3942-HT4212_at,3.95
HG3945-HT4215_at,27.2
HG3962-HT4232_at,1
HG3971-HT4241_at,14.7352941176471
HG3976-HT4246_at,10.7
HG3985-HT4255_at,7.8
HG3987-HT4257_at,98.85
HG3989-HT4259_at,5.15
HG3992-HT4262_at,21.35
HG3993-HT4263_at,1
HG3994-HT4264_at,3.83391003460208
HG3995-HT4265_at,77.1
HG3998-HT4268_at,8.6
HG3999-HT4269_at,3.65
HG4018-HT4288_at,22.8070175438597
HG4036-HT4306_at,13.9527896995708
HG4051-HT4321_at,6.95
HG4052-HT4322_at,9.1
HG4058-HT4328_at,22.2
HG406-HT406_at,4.98823529411765
HG4068-HT4338_at,73.15
HG4073-HT4343_at,7.28727272727273
HG4074-HT4344_at,13.9019607843137
HG4102-HT4372_at,26.25
HG4114-HT4384_at,4.94820717131474
HG4126-HT4396_at,31.7
HG4128-HT4398_at,27.45
HG4144-HT4414_at,1
HG415-HT415_at,16.5
HG4157-HT4427_at,8.12121212121212
HG4165-HT4435_at,6.45
HG4167-HT4437_at,9.44827586206897
HG4178-HT4448_at,35
HG4185-HT4455_at,9.1
HG4188-HT4458_at,1
HG4194-HT4464_at,23.7
HG4234-HT4504_at,24.6
HG4243-HT4513_at,14.4078947368421
HG4245-HT4515_at,1
HG4258-HT4528_at,19.15
HG4263-HT4533_at,215.85
HG4272-HT4542_at,4.26349206349206
HG429-HT429_at,10.45
HG4297-HT4567_at,12.7548638132296
HG4310-HT4580_at,1.75
HG4316-HT4586_at,1
HG4319-HT4589_at,1.22605363984674
HG4321-HT4591_at,26.6
HG4332-HT4602_at,4.21590909090909
HG4333-HT4603_at,29.1
HG4336-HT4606_at,4.60666666666667
HG4390-HT4660_at,23.05
HG4411-HT4681_at,1
HG4433-HT4703_at,3.55
HG4458-HT4727_at,1.9
HG4460-HT4729_at,49.75
HG4462-HT4731_at,4.1
HG4480-HT4833_at,9.45
HG4533-HT4938_at,4.46274509803922
HG4542-HT4947_at,2.1551724137931
HG4582-HT4987_at,93.65
HG4606-HT5011_at,31.9615384615385
HG4638-HT5050_at,30.15
HG4660-HT5073_at,6.99122807017544
HG4662-HT5075_at,47.7
HG4704-HT5146_at,21
HG4716-HT5158_at,28.1063829787234
HG4724-HT5166_at,22.15
HG4740-HT5187_at,6
HG4747-HT5195_at,16.15
HG4749-HT5197_at,39.7
HG511-HT511_at,201.55
HG537-HT537_at,22.1
HG544-HT544_at,1
HG613-HT613_at,1.6635475150759
HG620-HT620_at,144.85
HG64-HT64_at,29.45
HG644-HT644_at,4.55
HG662-HT662_at,4.21904252473924
HG668-HT4793_at,9.65
HG732-HT732_at,13.85
HG742-HT742_at,12.15
HG821-HT821_at,1.62288264529871
HG825-HT825_at,2.45
HG830-HT830_at,5.35321100917431
HG831-HT831_at,14.75
HG846-HT846_at,6.30857142857143
HG870-HT870_at,3.7
HG896-HT896_at,1
HG907-HT907_at,5.95
HG908-HT908_at,7.02816901408451
HG909-HT909_at,25.35
HG919-HT919_at,49.8181818181818
HG921-HT3995_at,8.3
HG960-HT960_at,3.53738317757009
HG961-HT961_at,1
HG987-HT987_at,254.5
J00073_at,5.26989619377163
J00123_at,13.3
J00124_at,9.2
J00129_at,6.24691358024691
J00287_at,1
J00301_at,2.5
J00306_at,7.93548387096774
J02611_at,3.60759493670886
J02645_at,45.3
J02843_at,7.55
J02854_at,23.45
J02874_at,15.35
J02876_at,1
J02883_at,20.047619047619
J02888_at,4.30660377358491
J02902_at,21.9016393442623
J02906_at,7.80398671096346
J02923_at,53.8899082568807
J02943_at,6.97142857142857
J02963_at,19.3
J02973_rna1_at,43.95
J03040_at,46.1
J03068_at,26.05
J03069_rna1_at,5.43323442136499
J03133_at,5.83495145631068
J03161_at,10.3128205128205
J03171_at,26.9
J03191_at,8.61320172732881
J03258_at,14.95
J03278_at,17.6338028169014
J03459_at,5.53162393162393
J03473_at,40.7614678899083
J03474_at,1
J03507_at,12.05
J03589_at,34
J03592_at,3.11465836091104
J03600_at,139.7
J03756_at,4.1063829787234
J03764_at,6.72972972972973
J03779_at,9.97238204833141
J03798_at,16.2765957446809
J03810_at,7.15
J03824_at,27
J03827_at,4.32083333333333
J03890_rna1_at,43.2
J03909_at,359.9
J03925_at,81
J03930_at,4.94495412844037
J04027_at,64.7
J04031_at,28.8
J04040_at,17.75
J04056_at,7.95
J04058_at,13.8695652173913
J04076_at,18.75
J04080_at,7.45
J04088_at,18.8235294117647
J04101_at,60.3
J04102_at,125.1
J04111_at,72.35
J04132_at,107
J04156_at,3.65
J04162_at,15.275
J04164_at,799.85
J04173_at,14.218
J04177_at,4.97385620915033
J04444_at,122.25
J04456_at,800
J04469_at,27.4
J04501_at,65.2
J04543_at,12.5
J04599_at,21.0967741935484
J04605_at,47.15
J04611_at,31.1010101010101
J04615_at,302.5
J04621_at,2.4
J04739_at,17.75
J04742_at,7.4
J04760_at,16.1
J04794_at,56.6060606060606
J04809_rna1_at,32.3
J04823_rna1_at,11.9607535321821
J04948_at,20.7162162162162
J04970_at,7.8
J04973_at,8.60377358490566
J04982_at,9.7
J04988_at,3.49580967829143
J04990_at,58.6080586080586
J05008_at,1.05
J05032_at,45.15
J05037_at,24.25
J05068_at,4.55
J05070_at,10.75
J05073_at,6
J05096_rna1_at,4.45
J05125_at,3.1
J05158_at,6.85
J05213_at,5.3
J05243_at,138
J05249_at,4.07547169811321
J05257_at,53.4
J05272_at,57.3684210526316
J05401_at,8.95
J05428_at,7.4
J05448_at,11.85
J05459_at,7.5
J05500_at,33.6428571428571
J05556_at,27.85
J05614_at,347.25
J05682_at,12
K01383_at,2.96190476190476
K01396_at,79.5245901639344
